"98年07月30日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"3383","新世紀","30.00","4.99","2.91",
"3406","玉晶光","-","0.00","1.30",
"3419","譁裕","-","0.00","0.86",
"3443","創意","34.33","2.14","8.42",
"3450","聯鈞","25.00","1.83","1.62",
"3474","華亞科","-","0.00","1.33",
"3481","群創","-","1.17","1.42",
"3494","誠研","9.68","8.46","1.30",
"3501","維熹","14.26","3.24","1.33",
"3504","揚明光","29.57","1.92","7.46",
"3514","昱晶","10.41","6.13","1.18",
"3515","華擎","23.97","6.64","2.19",
"3518","柏騰","16.28","2.86","2.13",
"3519","綠能","8.65","6.90","2.04",
"3532","台勝科","62.52","1.82","2.95",
"3533","嘉澤","15.35","3.43","2.06",
"3534","雷凌","20.50","2.69","2.83",
"3535","晶彩科","6.34","14.32","1.03",
"3536","誠創","-","0.00","0.83",
"3545","敦泰","30.87","2.08","3.19",
"3557","嘉威","98.54","0.00","2.21",
"3559","全智科","9.85","6.15","1.19",
"3561","昇陽光電","8.26","5.78","1.31",
"3576","聯合再生","7.96","5.31","1.23",
"3593","力銘","11.53","6.62","1.58",
"3596","智易","11.28","4.40","2.50",
"3605","宏致","14.73","3.54","3.38",
"3614","誠致","52.64","0.95","5.32",
"3622","洋華","39.90","1.56","9.27",
"3701","大眾控","-","0.00","0.26",
"3702","大聯大","17.57","3.69","1.76",
"4104","佳醫","28.24","2.77","1.66",
"4106","雃博","13.40","5.53","1.84",
"4108","懷特","-","0.00","7.71",
"4119","旭富","17.91","4.33","3.06",
"4306","炎洲","8.68","7.42","1.25",
"4414","如興","-","0.00","0.52",
"4526","東台","8.80","7.41","0.91",
"4532","瑞智","-","0.00","0.72",
"4725","信昌化","-","1.07","1.73",
"4904","遠傳","12.11","7.51","1.65",
"4906","正文","13.17","6.35","2.03",
"5203","訊連","14.89","5.28","3.23",
"5305","敦南","-","3.07","1.22",
"5388","中磊","11.30","9.03","1.10",
"5434","崇越","21.82","4.64","1.25",
"5469","瀚宇博","20.29","3.78","0.91",
"5471","松翰","16.10","4.41","3.63",
"5484","慧友","13.62","6.05","1.82",
"5515","建國","10.41","7.89","1.36",
"5522","遠雄","12.30","3.21","2.79",
"5525","順天","12.36","7.30","1.19",
"5531","鄉林","20.58","2.56","2.62",
"5533","皇鼎","13.94","5.06","1.43",
"5534","長虹","7.89","6.36","2.23",
"5607","遠雄港","-","0.00","2.57",
"5608","四維航","5.02","10.48","1.77",
"5854","合庫","16.14","4.03","1.00",
"6005","群益證","-","0.00","1.50",
"6012","金鼎證","-","0.00","0.89",
"6108","競國","14.24","3.91","1.32",
"6112","邁達特","15.00","7.69","0.67",
"6115","鎰勝","10.45","5.71","2.04",
"6116","彩晶","-","0.00","0.83",
"6117","迎廣","12.14","3.27","0.66",
"6119","大傳","30.00","4.63","0.74",
"6120","達運","-","0.00","0.95",
"6128","上福","13.72","5.54","1.98",
"6131","鈞泰","9.42","5.87","1.09",
"6133","金橋","-","2.51","0.86",
"6136","富爾特","9.12","10.77","0.86",
"6139","亞翔","11.37","8.59","0.86",
"6141","柏承","9.21","6.90","0.82",
"6142","友勁","14.02","2.32","1.15",
"6145","勁永","-","0.00","1.72",
"6153","嘉聯益","32.65","0.00","0.92",
"6155","鈞寶","17.30","4.72","1.88",
"6164","華興","21.33","4.07","1.72",
"6165","浪凡","-","0.00","0.74",
"6166","凌華","12.55","7.43","1.26",
"6168","宏齊","32.74","3.28","1.97",
