"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1440","南紡","4.02","110","12.84","1.20","111/1",
"1441","大東","0.00","109","-","1.11","111/1",
"1442","名軒","5.22","110","17.83","1.44","111/1",
"1443","立益","0.00","109","7.65","1.42","111/1",
"1444","力麗","2.84","110","11.99","0.91","111/1",
"1445","大宇","1.35","109","-","1.19","111/1",
"1446","宏和","0.93","110","-","2.91","111/1",
"1447","力鵬","0.00","109","29.96","0.70","111/1",
"1449","佳和","0.00","109","8.49","0.92","111/1",
"1451","年興","4.42","110","12.35","0.59","111/1",
"1452","宏益","9.03","110","10.97","1.01","111/1",
"1453","大將","0.99","110","22.65","2.15","111/1",
"1454","台富","3.47","110","96.00","1.08","111/1",
"1455","集盛","6.04","110","11.42","0.95","111/1",
"1456","怡華","7.52","110","6.35","1.10","111/1",
"1457","宜進","5.26","110","3.88","0.82","111/1",
"1459","聯發","2.01","110","5.54","0.89","111/1",
"1460","宏遠","0.00","109","-","0.77","111/1",
"1463","強盛","2.95","110","41.06","1.01","111/1",
"1464","得力","1.79","110","26.42","1.09","111/1",
"1465","偉全","2.41","110","-","0.80","111/1",
"1466","聚隆","7.17","110","8.51","0.86","111/1",
"1467","南緯","5.09","109","-","1.02","111/1",
"1468","昶和","0.00","109","-","1.59","111/1",
"1470","大統新創","3.28","110","24.40","2.17","111/1",
"1471","首利","0.00","109","-","0.99","111/1",
"1472","三洋實業","0.00","109","-","2.97","111/1",
"1473","台南","0.53","110","-","0.86","111/1",
"1474","弘裕","3.92","110","12.50","0.76","111/1",
"1475","業旺","0.00","109","31.71","5.90","111/1",
"1476","儒鴻","2.58","110","22.89","5.52","111/1",
"1477","聚陽","5.94","110","13.36","3.11","111/1",
"1503","士電","3.10","110","16.16","1.10","111/1",
"1504","東元","4.70","110","14.23","0.80","111/1",
"1506","正道","0.00","109","57.06","3.28","111/1",
"1512","瑞利","0.00","109","-","9.56","111/1",
"1513","中興電","5.72","110","12.00","1.87","111/1",
"1514","亞力","4.59","110","15.66","1.68","111/1",
"1515","力山","7.95","110","10.12","1.88","111/1",
"1516","川飛","6.49","110","11.27","1.80","111/1",
"1517","利奇","3.65","110","9.78","1.27","111/1",
"1519","華城","2.85","110","33.43","2.79","111/1",
"1521","大億","1.66","110","33.69","1.56","111/1",
"1522","堤維西","2.01","110","21.80","1.03","111/1",
"1524","耿鼎","1.55","110","32.25","1.42","111/1",
"1525","江申","3.66","110","15.00","0.91","111/1",
"1526","日馳","5.38","110","9.66","2.09","111/1",
"1527","鑽全","5.47","110","11.55","1.36","111/1",
"1528","恩德","1.05","110","8.05","0.82","111/1",
"1529","樂士","2.97","110","24.05","1.67","111/1",
"1530","亞崴","4.92","110","17.33","0.94","111/1",
"1531","高林股","4.79","110","12.27","0.70","111/1",
"1532","勤美","6.68","110","8.59","0.88","111/1",
"1533","車王電","0.48","110","63.23","2.37","111/1",
"1535","中宇","6.21","110","12.25","1.53","111/1",
"1536","和大","1.86","110","65.63","2.37","111/1",
"1537","廣隆","5.15","110","17.13","2.72","111/1",
"1538","正峰","0.00","109","-","8.29","111/1",
"1539","巨庭","3.71","110","7.95","0.98","111/1",
"1540","喬福","1.97","110","152.00","0.98","111/1",
"1541","錩泰","5.57","110","9.04","2.01","111/1",
"1558","伸興","6.16","110","23.47","1.63","111/1",
"1560","中砂","2.19","110","21.77","3.59","111/1",
"1568","倉佑","1.40","110","28.99","1.45","111/1",
"1582","信錦","7.82","110","53.39","1.42","111/1",
"1583","程泰","4.35","110","17.22","1.23","111/1",
"1587","吉茂","4.21","110","14.94","1.27","111/1",
"1589","永冠-KY","1.14","110","-","0.65","111/1",
"1590","亞德客-KY","1.55","110","25.66","4.86","111/1",
"1597","直得","3.17","110","20.23","2.83","111/1",
"1598","岱宇","5.88","110","40.91","1.44","111/1",
"1603","華電","1.67","110","19.08","0.80","111/1",
"1604","聲寶","8.99","110","6.58","1.27","111/1",
"1605","華新","4.08","110","8.10","1.22","111/1",
"1608","華榮","8.06","110","18.60","1.02","111/1",
"1609","大亞","3.74","110","13.44","1.60","111/1",
"1611","中電","4.32","110","21.51","1.35","111/1",
"1612","宏泰","11.69","110","2.88","0.96","111/1",
"1614","三洋電","3.36","110","26.14","1.77","111/1",
"1615","大山","8.41","110","8.93","1.76","111/1",
"1616","億泰","0.00","109","17.88","1.09","111/1",
"1617","榮星","5.52","110","13.70","1.17","111/1",
"1618","合機","3.94","110","10.58","0.57","111/1",
"1626","艾美特-KY","5.35","109","16.55","0.82","111/1",
"1701","中化","3.95","110","14.16","0.91","111/1",
"1702","南僑","4.71","110","11.85","1.25","111/1",
"1707","葡萄王","4.31","110","16.08","2.26","111/1",
"1708","東鹼","3.52","110","14.24","2.35","111/1",
"1709","和益","6.54","110","12.15","1.55","111/1",
"1710","東聯","3.63","110","64.33","1.30","111/1",
"1711","永光","2.11","110","27.56","1.52","111/1",
"1712","興農","5.23","110","12.65","1.99","111/1",
"1713","國化","3.66","110","20.71","1.42","111/1",
"1714","和桐","4.30","110","16.00","0.73","111/1",
"1717","長興","4.32","110","11.94","1.65","111/1",
"1718","中纖","6.01","109","-","0.48","111/1",
"1720","生達","5.83","110","11.41","1.88","111/1",
"1721","三晃","2.57","109","-","1.53","111/1",
"1722","台肥","4.06","110","22.04","1.26","111/1",
"1723","中碳","3.20","110","24.04","3.71","111/1",
"1725","元禎","5.58","110","12.60","0.88","111/1",
"1726","永記","4.86","110","14.31","1.22","111/1",
"1727","中華化","1.33","110","20.77","2.79","111/1",
