"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2901","欣欣","0.29","110","298.75","2.03","111/1",
"2903","遠百","4.36","110","27.91","0.91","111/1",
"2904","匯僑","3.56","110","25.86","1.56","111/1",
"2905","三商","5.63","110","-","0.95","111/1",
"2906","高林","2.11","110","33.84","1.26","111/1",
"2908","特力","5.77","110","14.42","1.68","111/1",
"2910","統領","1.57","110","49.61","2.43","111/1",
"2911","麗嬰房","0.00","109","-","0.71","111/1",
"2912","統一超","3.38","110","33.31","7.48","111/1",
"2913","農林","0.00","110","-","1.04","111/1",
"2915","潤泰全","5.85","110","4.58","1.02","111/1",
"2923","鼎固-KY","4.80","110","23.58","0.78","111/1",
"2929","淘帝-KY","0.00","109","-","0.54","111/1",
"2936","客思達-KY","0.00","109","8.65","1.00","111/1",
"2939","凱羿-KY","7.01","109","-","1.40","111/1",
"2945","三商家購","4.85","110","20.62","1.89","111/1",
"3002","歐格","0.76","109","-","1.13","111/1",
"3003","健和興","2.58","110","14.45","2.19","111/1",
"3004","豐達科","0.85","109","-","1.76","111/1",
"3005","神基","7.83","110","6.42","1.60","111/1",
"3006","晶豪科","6.64","110","6.21","2.40","111/1",
"3008","大立光","3.93","110","12.63","1.67","111/1",
"3010","華立","6.54","110","8.14","1.46","111/1",
"3011","今皓","0.00","109","23.58","2.08","111/1",
"3013","晟銘電","2.01","109","-","1.03","111/1",
"3014","聯陽","8.96","110","8.82","2.54","111/1",
"3015","全漢","7.68","110","10.63","0.61","111/1",
"3016","嘉晶","1.13","110","58.24","6.73","111/1",
"3017","奇鋐","4.00","110","12.23","3.12","111/1",
"3018","同開","0.00","109","-","2.96","111/1",
"3019","亞光","5.33","110","15.32","1.59","111/1",
"3021","鴻名","2.78","110","13.39","1.49","111/1",
"3022","威強電","6.64","110","9.36","0.95","111/1",
"3023","信邦","2.63","110","25.72","5.45","111/1",
"3024","憶聲","2.34","110","16.84","1.22","111/1",
"3025","星通","2.02","110","20.84","1.70","111/1",
"3026","禾伸堂","7.96","110","9.40","1.99","111/1",
"3027","盛達","0.00","109","43.52","1.23","111/1",
"3028","增你強","9.16","110","8.86","1.68","111/1",
"3029","零壹","8.69","110","11.11","1.80","111/1",
"3030","德律","4.84","110","10.89","2.40","111/1",
"3031","佰鴻","5.09","110","16.11","1.23","111/1",
"3032","偉訓","6.81","110","11.16","1.25","111/1",
"3033","威健","9.68","110","6.72","1.75","111/1",
"3034","聯詠","12.72","110","5.59","3.05","111/1",
"3035","智原","1.48","110","33.41","6.82","111/1",
"3036","文曄","6.85","110","8.73","1.30","111/1",
"3037","欣興","1.66","110","18.07","4.50","111/1",
"3038","全台","6.23","110","10.81","1.47","111/1",
"3040","遠見","6.09","110","19.44","1.23","111/1",
"3041","揚智","0.00","109","-","1.79","111/1",
"3042","晶技","7.46","110","9.86","2.35","111/1",
"3043","科風","0.00","109","9.09","4.27","111/1",
"3044","健鼎","5.98","110","10.44","1.49","111/1",
"3045","台灣大","3.98","110","27.98","4.47","111/1",
"3046","建碁","0.00","109","14.88","3.34","111/1",
"3047","訊舟","2.43","109","597.50","1.07","111/1",
"3048","益登","9.43","110","8.27","1.73","111/1",
"3049","和鑫","3.02","110","11.49","0.93","111/1",
"3050","鈺德","3.49","110","21.50","1.06","111/1",
"3051","力特","0.00","109","10.53","1.59","111/1",
"3052","夆典","2.45","110","18.21","0.66","111/1",
"3054","立萬利","0.00","109","105.00","1.85","111/1",
"3055","蔚華科","0.74","110","-","1.27","111/1",
"3056","總太","4.17","110","-","1.55","111/1",
"3057","喬鼎","0.00","109","60.00","1.43","111/1",
"3058","立德","1.26","109","-","1.28","111/1",
"3059","華晶科","1.82","110","33.10","1.18","111/1",
"3060","銘異","4.56","110","13.89","1.02","111/1",
"3062","建漢","0.21","110","-","1.45","111/1",
"3090","日電貿","7.31","110","11.07","2.04","111/1",
"3092","鴻碩","0.00","110","2,655.00","2.45","111/1",
"3094","聯傑","3.22","110","34.94","2.38","111/1",
"3130","一零四","5.72","110","16.62","3.81","111/1",
"3138","耀登","1.91","110","25.32","5.55","111/1",
"3149","正達","0.00","109","-","3.33","111/1",
"3164","景岳","4.37","110","20.49","1.52","111/1",
"3167","大量","6.16","110","11.55","2.45","111/1",
"3189","景碩","2.67","110","14.81","2.65","111/1",
"3209","全科","7.94","110","8.96","2.28","111/1",
"3229","晟鈦","0.00","109","-","2.02","111/1",
"3231","緯創","7.68","110","8.58","0.96","111/1",
"3257","虹冠電","8.06","110","12.84","3.48","111/1",
"3266","昇陽","0.00","109","13.80","0.85","111/1",
"3296","勝德","1.34","109","-","1.33","111/1",
"3305","昇貿","3.54","110","10.62","1.89","111/1",
"3308","聯德","0.00","109","-","1.64","111/1",
"3311","閎暉","1.34","110","35.15","0.97","111/1",
"3312","弘憶股","8.00","110","6.65","1.66","111/1",
"3321","同泰","0.00","109","-","2.09","111/1",
"3338","泰碩","3.37","110","16.44","2.15","111/1",
"3346","麗清","1.92","110","46.88","1.25","111/1",
"3356","奇偶","3.48","110","16.91","1.64","111/1",
"3376","新日興","5.71","110","14.00","1.05","111/1",
"3380","明泰","2.91","110","32.68","1.56","111/1",
"3383","新世紀","0.00","109","-","16.50","111/1",
"3406","玉晶光","1.93","110","19.95","2.74","111/1",
"3413","京鼎","4.30","110","11.36","2.63","111/1",
"3416","融程電","5.75","110","15.39","2.37","111/1",
"3419","譁裕","2.78","109","-","1.53","111/1",
"3432","台端","3.56","110","13.01","0.56","111/1",
"3437","榮創","2.02","110","30.97","1.14","111/1",
"3443","創意","1.20","110","46.09","13.43","111/1",
"3450","聯鈞","3.84","110","19.96","1.66","111/1",
"3454","晶睿","1.74","110","29.31","2.30","111/1",
"3481","群創","7.47","110","3.10","0.48","111/1",
"3494","誠研","0.00","109","-","1.23","111/1",
"3501","維熹","4.56","110","13.63","0.87","111/1",
"3504","揚明光","0.00","109","92.39","2.30","111/1",
"3515","華擎","8.58","110","7.46","2.50","111/1",
"3518","柏騰","4.90","110","29.57","1.10","111/1",
"3528","安馳","7.28","110","11.35","2.01","111/1",
"3530","晶相光","3.04","110","12.20","3.13","111/1",
"3532","台勝科","0.91","110","45.35","4.33","111/1",
"3533","嘉澤","2.00","110","21.13","4.53","111/1",
"3535","晶彩科","1.63","110","19.01","2.29","111/1",
"3536","誠創","0.00","109","-","15.74","111/1",
"3543","州巧","5.69","110","-","0.64","111/1",
"3545","敦泰","13.26","110","4.28","1.75","111/1",
"3550","聯穎","3.91","110","43.86","0.64","111/1",
"3557","嘉威","8.47","110","9.62","2.48","111/1",
"3563","牧德","6.35","110","10.64","3.27","111/1",
"3576","聯合再生","0.00","109","-","2.19","111/1",
"3583","辛耘","2.75","110","14.04","2.36","111/1",
"3588","通嘉","3.56","110","15.24","3.39","111/1",
"3591","艾笛森","1.67","110","20.43","0.77","111/1",
"3592","瑞鼎","9.28","110","8.57","3.44","111/1",
"3593","力銘","0.00","109","-","2.28","111/1",
"3596","智易","5.46","110","15.65","2.26","111/1",
"3605","宏致","3.54","110","10.90","1.02","111/1",
"3607","谷崧","6.37","110","-","0.83","111/1",
"3617","碩天","1.35","110","-","1.43","111/1",
"3622","洋華","3.95","110","15.67","0.79","111/1",
"3645","達邁","2.00","110","23.62","2.59","111/1",
"3653","健策","1.74","110","34.08","7.20","111/1",
"3661","世芯-KY","1.23","110","39.71","5.46","111/1",
"3665","貿聯-KY","2.91","110","20.94","2.61","111/1",
"3669","圓展","7.21","110","9.23","1.64","111/1",
"3673","TPK-KY","4.32","110","14.79","0.39","111/1",
"3679","新至陞","9.76","110","10.87","1.23","111/1",
"3682","亞太電","0.00","109","-","1.10","111/1",
"3686","達能","0.00","109","-","2.28","111/1",
"3694","海華","0.00","109","10.10","1.44","111/1",
"3701","大眾控","0.00","109","36.64","3.91","111/1",
"3702","大聯大","6.12","110","8.59","1.39","111/1",
"3703","欣陸","5.63","110","9.51","0.99","111/1",
"3704","合勤控","1.70","110","9.90","1.40","111/1",
"3705","永信","4.00","110","14.21","1.67","111/1",
