"證券代號","證券名稱","收盤價","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2379","瑞昱","213.00","3.29","107","15.94","3.98","108/4",
"2380","虹光","3.17","0.00","107","-","0.35","108/4",
"2382","廣達","59.70","6.20","108","14.42","1.70","108/4",
"2383","台光電","107.00","5.61","108","10.55","2.53","108/4",
"2385","群光","79.00","7.47","108","9.44","2.02","108/4",
"2387","精元","25.30","3.95","108","632.50","0.78","108/4",
"2388","威盛","19.60","0.00","107","217.78","2.74","108/4",
"2390","云辰","7.00","0.00","107","-","0.72","108/4",
"2392","正崴","29.80","5.03","107","7.27","0.64","108/4",
"2393","億光","25.25","5.54","108","13.58","0.66","108/4",
"2395","研華","244.50","3.60","108","23.31","5.31","108/4",
"2397","友通","64.10","8.24","107","11.63","2.30","108/4",
"2399","映泰","8.05","0.00","107","201.25","0.72","108/4",
"2401","凌陽","8.84","3.39","108","294.67","0.64","108/4",
"2402","毅嘉","11.05","4.52","108","14.93","0.58","108/4",
"2404","漢唐","165.00","7.88","108","11.17","3.67","108/4",
"2405","輔信","7.32","0.00","107","732.00","0.75","108/4",
"2406","國碩","9.14","0.00","107","12.35","0.86","108/4",
"2408","南亞科","53.90","2.80","108","16.74","1.08","108/4",
"2409","友達","6.97","7.17","107","-","0.37","108/4",
"2412","中華電","107.00","3.95","108","25.30","2.21","108/4",
"2413","環科","9.82","0.00","107","-","0.80","108/4",
"2414","精技","20.70","7.25","108","11.37","1.26","108/4",
"2415","錩新","11.65","4.29","108","18.79","0.64","108/4",
"2417","圓剛","9.80","1.02","108","490.00","0.67","108/4",
"2419","仲琦","17.65","4.53","108","25.96","1.15","108/4",
"2420","新巨","28.90","6.92","108","9.06","1.43","108/4",
"2421","建準","31.60","6.33","108","11.66","1.88","108/4",
"2423","固緯","21.45","6.99","108","9.98","1.33","108/4",
"2424","隴華","21.00","0.00","107","-","2.54","108/4",
"2425","承啟","26.50","5.66","107","23.87","1.65","108/4",
