"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2115","六暉-KY","6.47","108","6.63","1.47","109/2",
"2201","裕隆","0.00","108","-","0.87","109/2",
"2204","中華","0.00","108","-","0.59","109/2",
"2206","三陽工業","4.17","108","18.76","1.43","109/2",
"2207","和泰車","2.31","108","25.63","5.86","109/2",
"2208","台船","0.00","108","-","1.95","109/2",
"2227","裕日車","8.72","108","12.50","4.45","109/2",
"2228","劍麟","6.22","108","17.11","1.75","109/2",
"2231","為升","4.36","108","44.47","6.76","109/2",
"2233","宇隆","4.41","108","16.23","1.80","109/2",
"2236","百達-KY","2.30","108","24.38","0.72","109/2",
"2239","英利-KY","3.33","108","25.77","0.88","109/2",
"2241","艾姆勒","1.38","108","101.11","4.53","109/2",
"2243","宏旭-KY","0.00","108","-","0.68","109/2",
"2301","光寶科","6.95","108","10.17","1.56","109/2",
"2302","麗正","0.00","108","-","1.25","109/2",
"2303","聯電","3.69","108","16.82","1.26","109/2",
"2305","全友","0.00","108","174.75","0.67","109/2",
"2308","台達電","2.64","108","24.77","3.70","109/2",
"2312","金寶","2.78","108","50.68","1.05","109/2",
"2313","華通","2.67","108","11.08","2.08","109/2",
"2314","台揚","0.00","108","-","2.21","109/2",
"2316","楠梓電","1.57","108","14.24","0.89","109/2",
"2317","鴻海","5.40","108","10.43","0.92","109/2",
"2321","東訊","0.00","108","-","3.18","109/2",
"2323","中環","2.41","108","-","0.51","109/2",
"2324","仁寶","6.12","108","13.33","0.84","109/2",
"2327","國巨","3.90","108","19.24","2.60","109/2",
"2328","廣宇","5.41","108","12.59","0.93","109/2",
"2329","華泰","1.40","108","215.00","1.05","109/2",
"2330","台積電","2.19","108","24.69","6.53","109/2",
"2331","精英","0.00","108","28.44","0.70","109/2",
"2332","友訊","0.00","108","-","1.57","109/2",
"2337","旺宏","4.06","108","10.54","1.65","109/2",
"2338","光罩","3.32","108","37.69","2.19","109/2",
"2340","台亞","4.55","108","16.30","1.19","109/2",
"2342","茂矽","0.00","108","-","2.64","109/2",
"2344","華邦電","0.83","108","48.40","0.81","109/2",
"2345","智邦","2.58","108","26.76","11.70","109/2",
