"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"6449","鈺邦","3.63","107","19.82","1.18","108/1",
"6451","訊芯-KY","2.37","107","23.33","1.75","108/1",
"6452","康友-KY","2.73","107","15.10","2.27","108/1",
"6456","GIS-KY","3.90","107","8.51","1.33","108/1",
"6464","台數科","5.05","107","21.43","2.04","108/1",
"6477","安集","3.48","107","8.75","1.19","108/1",
"6504","南六","3.04","107","19.63","3.66","108/1",
"6505","台塑化","4.12","107","21.74","3.15","108/1",
"6525","捷敏-KY","7.37","107","9.96","2.17","108/1",
"6531","愛普*","1.36","107","-","1.27","108/1",
"6533","晶心科","0.63","107","121.20","4.08","108/1",
"6541","泰福-KY","0.00","106","-","4.92","108/1",
"6552","易華電","2.19","107","28.01","4.52","108/1",
"6558","興能高","2.01","107","31.26","3.75","108/1",
"6573","虹揚-KY","2.14","107","86.48","1.07","108/1",
"6579","研揚","5.01","107","17.61","1.50","108/1",
"6581","鋼聯","5.17","107","13.83","2.89","108/1",
"6582","申豐","6.73","107","12.10","1.63","108/1",
"6591","動力-KY","3.67","107","20.87","1.08","108/1",
"6605","帝寶","3.40","107","11.10","0.86","108/1",
"6625","必應","3.86","107","14.55","2.76","108/1",
"6641","基士德-KY","5.95","107","10.18","1.75","108/1",
"6655","科定","3.77","107","16.93","1.72","108/1",
"6666","羅麗芬-KY","4.35","107","18.38","4.33","108/1",
"6668","中揚光","1.63","107","29.85","2.33","108/1",
"6669","緯穎","4.92","107","10.18","3.13","108/1",
"6670","復盛應用","5.88","107","11.81","3.92","108/1",
"6671","三能-KY","6.29","107","16.22","1.73","108/1",
"6672","騰輝電子-KY","4.95","107","11.80","2.53","108/1",
"6674","鋐寶科技","6.13","107","10.63","1.08","108/1",
"8011","台通","0.00","107","-","0.74","108/1",
"8016","矽創","3.79","107","17.39","3.16","108/1",
"8021","尖點","6.25","107","12.23","0.61","108/1",
"8028","昇陽半導體","3.75","107","21.35","2.50","108/1",
"8033","雷虎","0.00","106","-","1.88","108/1",
"8039","台虹","6.10","107","15.07","1.18","108/1",
"8046","南電","1.94","107","-","0.79","108/1",
"8070","長華*","8.08","107","8.84","1.60","108/1",
"8072","陞泰","2.43","107","-","0.71","108/1",
"8081","致新","5.75","107","12.99","1.86","108/1",
"8101","華冠","0.00","106","-","0.54","108/1",
"8103","瀚荃","4.13","107","9.27","0.76","108/1",
