"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"3017","奇鋐","17.75","0.00","1.62",
"3018","同開","-","0.00","0.74",
"3019","亞光","11.34","4.13","1.85",
"3020","奇普仕","14.49","0.00","2.27",
"3021","鴻名","-","0.00","1.21",
"3022","威強電","15.63","6.90","3.55",
"3023","信邦","9.48","9.81","1.82",
"3024","憶聲","183.75","6.80","1.05",
"3025","星通","13.78","4.62","1.69",
"3026","禾伸堂","12.19","5.61","2.17",
"3027","盛達","11.59","4.87","1.65",
"3028","增你強","9.94","7.43","1.24",
"3029","零壹","54.05","0.00","0.81",
"3030","德律","10.20","6.02","2.87",
"3031","佰鴻","28.53","2.64","4.31",
"3032","偉訓","8.24","9.71","1.32",
"3033","威健","10.02","8.58","1.44",
"3034","聯詠","10.28","5.75","4.95",
"3035","智原","17.55","4.01","4.62",
"3036","文曄","9.61","6.37","1.80",
"3037","欣興","12.53","2.93","2.44",
"3038","全台","-","0.60","1.39",
"3040","遠見","14.63","0.00","1.11",
"3041","揚智","26.46","1.58","5.45",
"3042","晶技","14.65","4.46","3.37",
"3043","科風","31.26","2.92","2.45",
"3044","健鼎","14.44","2.43","4.40",
"3045","台灣大","13.77","6.42","3.95",
"3046","建碁","-","0.00","2.12",
"3047","訊舟","14.07","2.99","2.79",
"3048","益登","10.02","3.63","1.52",
"3049","和鑫","-","0.00","1.18",
"3050","鈺德","-","0.00","0.67",
"3051","力特","-","0.00","1.13",
"3052","夆典","22.83","0.00","1.23",
"3054","立萬利","-","0.00","0.82",
"3055","蔚華科","8.62","7.55","1.57",
"3056","總太","-","0.00","1.04",
"3057","喬鼎","133.67","0.40","1.68",
"3058","立德","13.61","7.73","1.25",
"3059","華晶科","9.62","7.44","2.37",
"3060","銘異","10.00","10.16","2.33",
"3061","璨圓","-","0.00","3.13",
"3062","建漢","41.02","1.47","5.16",
"3063","飛信","-","4.79","1.48",
"3094","聯傑","61.98","1.01","4.56",
"3130","一零四","16.13","5.79","4.22",
"3189","景碩","14.85","3.38","3.13",
"3231","緯創","17.17","4.12","3.07",
"3271","其樂達","-","0.00","2.87",
"3311","閎暉","16.82","3.54","5.32",
"3315","宣昶","12.30","4.49","3.21",
"3356","奇偶","20.16","3.22","11.42",
"3367","英華達","12.03","5.19","2.79",
"3380","明泰","11.50","5.28","1.95",
"3406","玉晶光","-","4.98","1.23",
"3443","創意","52.87","0.64","13.65",
"3450","聯鈞","16.53","4.59","2.10",
"3474","華亞科","10.35","10.54","1.30",
"3481","群創","29.60","0.41","8.02",
"3501","維熹","14.20","4.30","1.58",
"3504","揚明光","9.43","7.75","2.26",
"3514","昱晶","309.16","0.00","10.72",
"3545","敦泰","77.27","0.00","6.72",
"3701","大眾控","-","0.00","0.34",
"3702","大聯大","16.13","3.46","2.68",
"4106","雃博","17.44","2.25","1.91",
"4119","旭富","19.22","2.02","2.34",
"4414","如興","-","0.00","0.55",
"4526","東台","13.57","5.98","1.88",
"4532","瑞智","12.74","3.74","1.15",
"4725","信昌化","22.15","0.00","4.71",
"4904","遠傳","12.55","7.92","2.15",
"4906","正文","17.02","4.08","2.27",
"5203","訊連","15.68","4.62","3.64",
"5305","敦南","12.43","7.18","1.55",
"5434","崇越","17.62","3.52","2.72",
"5469","瀚宇博","9.92","7.95","1.29",
"5471","松翰","14.43","5.41","4.28",
"5484","慧友","15.74","2.59","3.19",
"5515","建國","15.38","5.94","1.83",
"5522","遠雄","16.58","3.80","4.02",
"5525","順天","12.36","7.46","2.45",
"5531","鄉林","7.55","8.13","3.96",
"5534","長虹","8.59","7.35","3.15",
"5607","遠雄港","-","0.00","1.17",
"5608","四維航","10.74","6.64","3.22",
"5854","合庫","11.71","2.87","1.16",
"6005","群益證","8.68","3.80","1.17",
"6012","金鼎證","9.54","0.00","1.51",
"6112","邁達特","11.11","3.91","0.91",
"6115","鎰勝","10.65","6.84","2.29",
"6116","彩晶","13.43","0.00","1.42",
"6117","迎廣","92.73","2.45","0.95",
"6119","大傳","17.88","4.95","1.06",
"6120","達運","107.69","5.32","1.06",
"6128","上福","9.18","9.74","1.61",
"6131","鈞泰","9.71","9.41","2.28",
"6133","金橋","14.53","7.95","1.46",
"6136","富爾特","10.59","8.89","0.77",
"6139","亞翔","9.48","9.93","1.36",
"6141","柏承","9.40","5.86","2.33",
"6142","友勁","12.09","4.44","1.91",
"6145","勁永","70.74","5.76","1.16",
"6155","鈞寶","14.92","5.26","2.38",
"6165","浪凡","2,355.00","3.61","1.72",
"6166","凌華","13.93","5.89","2.56",
